"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.0187...187",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0188...188",0.06,0.08,-0.09,0.06,0.2,0.06,"L1 speakers (linear)"
"fitted.Predictor.0189...189",0.04,0.04,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0190...190",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0191...191",0.04,0.04,-0.04,0.04,0.12,0.04,"L1 speakers (linear)"
"fitted.Predictor.0192...192",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0193...193",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0194...194",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0195...195",0.04,0.04,-0.03,0.04,0.11,0.04,"L1 speakers (linear)"
"fitted.Predictor.0196...196",0.04,0.03,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0197...197",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0198...198",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0199...199",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0200...200",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0201...201",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0202...202",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0203...203",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0204...204",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0205...205",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0206...206",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0207...207",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0208...208",0.01,0.04,-0.07,0.01,0.1,0.01,"L1 speakers (linear)"
"fitted.Predictor.0209...209",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0210...210",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0211...211",0.05,0.05,-0.06,0.05,0.15,0.05,"L1 speakers (linear)"
"fitted.Predictor.0212...212",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0213...213",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0214...214",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0215...215",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0216...216",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0217...217",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0218...218",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0219...219",0.04,0.04,-0.03,0.04,0.1,0.04,"L1 speakers (linear)"
"fitted.Predictor.0220...220",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0221...221",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0222...222",0.06,0.08,-0.1,0.06,0.22,0.06,"L1 speakers (linear)"
"fitted.Predictor.0223...223",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0224...224",0.06,0.08,-0.1,0.06,0.22,0.06,"L1 speakers (linear)"
"fitted.Predictor.0225...225",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0226...226",0.01,0.05,-0.1,0.01,0.11,0.01,"L1 speakers (linear)"
"fitted.Predictor.0227...227",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0228...228",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0229...229",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0230...230",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0231...231",0.01,0.05,-0.1,0.01,0.11,0.01,"L1 speakers (linear)"
"fitted.Predictor.0232...232",0.01,0.05,-0.09,0.01,0.11,0.01,"L1 speakers (linear)"
"fitted.Predictor.0233...233",0.01,0.04,-0.07,0.01,0.1,0.01,"L1 speakers (linear)"
"fitted.Predictor.0234...234",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0235...235",0,0.07,-0.14,0,0.14,0,"L1 speakers (linear)"
"fitted.Predictor.0236...236",0.01,0.05,-0.09,0.01,0.11,0.01,"L1 speakers (linear)"
"fitted.Predictor.0237...237",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0238...238",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0239...239",0.03,0.03,-0.03,0.03,0.09,0.03,"L1 speakers (linear)"
"fitted.Predictor.0240...240",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)"
"fitted.Predictor.0241...241",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0242...242",0.03,0.03,-0.03,0.03,0.1,0.03,"L1 speakers (linear)"
"fitted.Predictor.0243...243",0.01,0.05,-0.1,0.01,0.11,0.01,"L1 speakers (linear)"
"fitted.Predictor.0244...244",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)"
"fitted.Predictor.0245...245",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)"
"fitted.Predictor.0246...246",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)"
