ISO_639	L1_st	L1_log10_scaled	All_Users_scaled	All_Users_log10_scaled
gaa	-0.060292579279512995	1.2079414295299997	-0.06235686554647297	1.1916465087433288
ttb	-0.09052843533948321	-0.07559091098129814	-0.08140833559389854	-0.08679204793577663
tbi	-0.08666153674133736	0.6216664144178836	-0.07897182105722098	0.6076981651913596
gqa	-0.08917090710821925	0.3586960612373925	-0.08055296346932024	0.3457714274236622
gdg	-0.09069298421600006	-0.22767191387337715	-0.08151201706354438	-0.23826950720899623
ged	-0.0879738140315592	0.5125890745953636	-0.07979868077764667	0.49905370607819916
gag; gag; gag	-0.08506541263912397	0.7160700746749467	-0.0779661108016562	0.7017271782166079
bfu	-0.09078554295904077	-0.36758804506567716	-0.08157033789022018	-0.3776303718883805
gbi	-0.08768996721956764	0.5398016713445212	-0.07961983024250757	0.5261583078193792
glg; glg; glg	0.03605078792109958	1.6312208497727478	-0.001651365068825796	1.6132461163321368
car; car; car; car; car	-0.09058775520946753	-0.12195186866485762	-0.08144571276370587	-0.1329690190618962
adl	-0.08973860073220236	0.24345882230359403	-0.08091066453959844	0.23099151517032243
kld	-0.09093980753077532	-2.818044986908612	-0.08166468802759791	-1.4216417162021289
gmv	-0.0238861403501611	1.4410687593677847	-0.038784883422488196	1.428255256052104
unn	-0.0909396429818988	-2.3388269053571267	-0.08166743558654352	-2.341046239085677
lug	0.13778313082763882	1.8064193233242225	0.20216048388751057	1.988749247954451
gnb	-0.09026104341514334	0.07350567369322254	-0.08123985320572402	0.061712836982937606
gao	-0.0908369644829523	-0.48827759468432175	-0.08160273834948452	-0.4978409569674038
pwg	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
wrk	-0.09093445969228853	-1.366430923166309	-0.08166416962024968	-1.3725092753054116
cab; cab; cab	-0.08644350947995254	0.6364663323496162	-0.07883444310994023	0.6224393486601582
grt; grt	-0.03869553923667712	1.3667601621725822	-0.04874867265545471	1.3498349586364622
gaq	-0.09081392764023993	-0.4281159098415981	-0.08158822294373409	-0.4379180277897281
gay	-0.07859864179201197	0.9371036139859882	-0.07389142904457416	0.9218835311620402
gyg	-0.09073412143512927	-0.2819491338825217	-0.08153793743095586	-0.29233132444486215
krs; krs	-0.08912976988909004	0.36554114637775836	-0.08042336163226294	0.3783940347420229
kvq	-0.08929431876560687	0.3371627466524369	-0.08063072457155464	0.32432356923604416
gei	-0.09083079390008292	-0.47093447871536925	-0.08159885029437279	-0.4805666683126795
gdd	-0.0906539038578273	-0.18391402362258547	-0.0814873927145035	-0.19468527306865485
nlg	-0.0904502746231377	-0.02380020889946156	-0.08135908689581675	-0.03520688071472687
geq	-0.09091718206025426	-0.9386947969224299	-0.08165328306593686	-0.9464706484509423
gea	-0.09056833844203854	-0.10596846044662128	-0.08143347835028765	-0.11704904206685207
ges	-0.08943829903255911	0.3098988766423141	-0.08072144585749476	0.2971678977152599
gha	-0.09042147856974726	-0.0067823990478818996	-0.08134094263862873	-0.018256607178318493
ghn	-0.090836553110761	-0.4870894249698392	-0.0816024791458104	-0.4966575025838019
gri	-0.09044204717931187	-0.018837925307186976	-0.08135390282233447	-0.030264290276364573
aln; aln; aln; aln	0.04870871024715786	1.6595122186632538	0.006324331983681478	1.6414252090353612
gdo	-0.09093445969228853	-1.366430923166309	-0.08166416962024968	-1.3725092753054116
gho	-0.09052843533948321	-0.07559091098129814	-0.08140833559389854	-0.08679204793577663
gid; gid	-0.08823709223398615	0.4849116314906822	-0.07996457112908002	0.47148610275530844
kks	-0.09036388646296636	0.024586851523015704	-0.08130465412425268	0.01298815242624913
gil; gil; gil; gil	-0.08614732150222222	0.6554614037099298	-0.07864781646457769	0.6413590368109235
niv	-0.09093158008694947	-1.238959776918128	-0.08166235519453088	-1.2455440068160812
