Language_ID	AUTOTYP_area	Longitude	Latitude
cent1972	Greater Mesopotamia	45.8077	35.6539
cent1989	Southeast Asia	105.015	12.0515
cent1990	Southeast Asia	93.3921	7.94812
cent1992	Southeast Asia	107.301	12.6313
cent2004	Southeast Asia	99.7052	26.1666
cent2050	African Savannah	13.13	11.8
cent2058	Oceania	168.135	-15.0784
cent2060	NA	NA	NA
cent2084	Oceania	121.857	17.9571
cent2087	Oceania	123.403	13.7574
cent2090	Oceania	119.338	10.6519
cent2091	Oceania	117.838	8.77013
cent2100	Southeast Asia	116.681	6.02998
cent2126	N Coast Asia	127.7816	26.14854
cent2127	Alaska-Oregon	-161.486	60.3062
cent2131	Mesoamerica	-107.154	27.5648
cent2140	California	-120.257	38.0812
cent2142	Andean	-68.5	-17
cent2150	NE South America	-72.097	6.8867
cent2292	Oceania	120.92	17.08
cent2314	Southeast Asia	102.270556	12.608611
cent2322	Inner Asia	62.4023	61.1432
chac1249	Andean	-79.0508	0.71489
chac1251	NE South America	-66.7164	-12.133
chad1249	African Savannah	13.5	14.67
chak1270	Indic	92.5953	21.4134
chak1271	African Savannah	-1.90181	9.83446
chal1275	Greater Mesopotamia	43.5027	37.0972
cham1309	Greater Mesopotamia	45.995	42.5024
cham1312	Oceania	144.74474	13.438011
cham1315	SE South America	-58.2005	-20.5899
cham1318	NE South America	-75.6778	-5.1149
chan1313	Southeast Asia	94.9536	26.4336
char1269	Greater Abyssinia	36.4192	6.63946
chas1234	Southeast Asia	98.75	26.1
chec1245	Greater Mesopotamia	45.5	43.5
chek1238	Oceania	159.625	-8.27055
chen1255	Indic	79.2534	15.8787
chep1245	Indic	84.9017	27.7206
cher1273	E North America	-83.163	35.4664
chey1247	Basin and Plains	-106.659	45.5321
chhi1245	Indic	87.1899	26.961
chib1270	NE South America	-74.1666	6.24999
chic1270	E North America	-88	34
chig1238	S Africa	29.9122	-1.04387
chil1280	Alaska-Oregon	-123.24458	51.98952
chim1301	California	-123	41
chim1302	Andean	-78.8521	-1.36727
chim1309	NE South America	-74.2559	10.1902
chim1312	Greater Abyssinia	44.026991	1.111787
chin1286	Basin and Plains	-119.166	45.1729
chip1241	E North America	-94.2738	47.347
chip1261	E North America	-104.44	58.98
