Language_ID,used_in_reanalysis,ISO_639
wage1238,yes,waq
waig1244,yes,wgo
waim1251,yes,rro
waiw1244,yes,waw
wala1266,yes,lgl
wall1257,yes,wls
wand1267,yes,wad
wand1278,yes,mfi
waor1240,yes,auc
wara1294,yes,tci
wara1303,yes,wba
ward1246,yes,wrr
wari1268,yes,pav
warj1242,yes,aml
waru1265,yes,wrm
wash1253,yes,was
wawa1246,yes,www
waya1269,yes,way
wels1247,yes,cym
weri1253,yes,wer
west2354,yes,fry
west2386,yes,pnb
west2392,yes,mrj
west2396,yes,lcp
west2397,yes,brv
west2418,yes,mrd
west2430,yes,mmr
west2441,yes,are
west2466,yes,kza
west2516,yes,uve
west2519,yes,wyy
west2548,yes,drn
west2557,yes,suc
west2560,yes,bdr
west2594,yes,dnw
west2600,yes,mqs
west2615,yes,apw
west2632,yes,kjq
west2635,yes,knj
west2644,yes,ctp
west2650,yes,cja
west2763,yes,amw
whit1269,yes,tnp
wiru1244,yes,wiu
woii1237,yes,wbw
wola1253,yes,wle
woli1241,yes,wlo
wood1236,yes,cwd
wotu1240,yes,wtw
woun1238,yes,noa
wudi1238,yes,ywq
wusa1235,yes,yig
wuvu1239,yes,wuv
xara1244,yes,ane
xava1240,yes,xav
xish1235,yes,ywt
xokl1240,yes,xok
yaak1241,yes,muu
yagu1244,yes,yad
yaka1277,yes,yka
yaki1237,yes,yak
yaku1245,yes,sah
yale1246,yes,nce
yami1254,yes,tao
yami1256,yes,yaa
yano1261,yes,guu
yape1248,yes,yap
yapu1240,yes,yev
yaqu1251,yes,yaq
yare1248,yes,yrb
yatz1235,yes,zav
yaul1241,yes,yla
yaum1237,yes,yuw
yawa1260,yes,ywn
yecu1235,yes,tlc
yele1255,yes,yle
yems1235,yes,jnj
yidi1250,yes,yii
yind1247,yes,yij
yoga1237,yes,yog
yoku1256,yes,yok
yona1241,yes,yoi
yong1280,yes,yon
youl1235,yes,jiu
youn1235,yes,buh
yuca1254,yes,yua
yulu1243,yes,yul
yuqu1240,yes,yuq
yura1255,yes,yuz
zaba1237,yes,kji
zaca1241,yes,nhi
zaca1242,yes,ctz
zagh1240,yes,zag
zaiw1241,yes,atb
zani1235,yes,zpw
zarm1239,yes,dje
zaye1235,yes,kxk
zays1235,yes,zay
zeme1240,yes,nzm
zoog1238,yes,zpq
zuni1245,yes,zun
avac1239,no,avv
bong1289,no,bdg
chin1286,no,chh
fili1244,no,fil
guny1241,no,gyy
kuku1280,no,uwa
kwin1241,no,gww
labu1248,no,lbu
lush1252,no,lut
madn1237,no,zml
mart1255,no,vma
miya1259,no,mvi
muru1266,no,zmu
ngar1283,no,nji
nhan1238,no,nha
nucl1327,no,lmc
nyam1285,no,nmi
thao1240,no,ssf
timu1262,no,tih
tuba1278,no,tub
urni1239,no,urc
wang1291,no,wyb
yaey1239,no,rys
