Language_ID,used_in_reanalysis,ISO_639
aghu1255,yes,ahh
agob1244,yes,kit
agua1253,yes,agr
agut1237,yes,agn
aheu1239,yes,thm
aime1238,yes,ail
ainu1240,yes,ain
ajab1235,yes,ajg
ajie1238,yes,aji
akha1245,yes,ahk
akoo1248,yes,bss
alab1237,yes,akz
alac1244,yes,mim
alag1248,yes,wbj
aleu1260,yes,ale
alor1247,yes,aol
aluk1238,yes,xua
amah1246,yes,amc
amap1240,yes,amm
amar1272,yes,aie
amar1274,yes,amr
amas1236,yes,nyi
amdo1237,yes,adx
amii1238,yes,amy
amis1246,yes,ami
amri1238,yes,ajz
anei1239,yes,aty
anga1288,yes,njm
anuf1239,yes,cko
anut1237,yes,aud
anuu1241,yes,anl
aona1235,yes,njo
apat1240,yes,apt
apin1244,yes,apn
apma1240,yes,app
apur1254,yes,apu
arak1252,yes,akr
arao1248,yes,aro
arap1274,yes,arp
araw1273,yes,awt
arch1244,yes,aqc
area1240,yes,alu
aree1239,yes,mwc
arhu1242,yes,arh
arom1237,yes,rup
arop1242,yes,aps
arop1243,yes,apr
arta1239,yes,atz
ashe1272,yes,prq
assi1247,yes,asb
asur1254,yes,asr
atam1240,yes,atd
athp1241,yes,aph
aton1241,yes,aot
aulu1238,yes,aul
auuu1241,yes,avt
auye1238,yes,auu
awac1239,yes,kwi
awad1244,yes,bcu
awar1249,yes,aya
awet1244,yes,awe
axam1237,yes,ahb
axiy1235,yes,yix
ayac1239,yes,quy
ayiw1239,yes,nfl
azha1235,yes,aza
baba1264,yes,bbw
baba1266,yes,bbk
babi1235,yes,bcr
bafi1243,yes,ksf
bafu1246,yes,bfd
bagi1246,yes,bmi
bagv1239,yes,kva
baim1244,yes,bqh
baka1272,yes,bkc
baki1244,yes,bki
bala1311,yes,sse
bali1278,yes,ban
balu1257,yes,blq
bamu1253,yes,bax
band1344,yes,liy
bang1354,yes,bni
barg1252,yes,mlp
bari1286,yes,bch
baro1253,yes,bjk
bash1264,yes,bak
basq1248,yes,eus
bata1289,yes,bbc
bats1242,yes,bbl
baur1253,yes,brg
bawm1236,yes,bgr
bebe1248,yes,beb
beka1241,yes,bei
bekw1241,yes,bkv
bell1243,yes,blc
bemb1257,yes,bem
bezh1248,yes,kap
bian1252,yes,big
biao1253,yes,byk
biao1254,yes,bje
biao1256,yes,bmt
bier1244,yes,bnk
bign1238,yes,nmb
bili1260,yes,byn
bimi1240,yes,bhl
bina1277,yes,bhg
bini1246,yes,bin
bira1253,yes,bxe
bisu1244,yes,bzi
bitt1240,yes,bgk
biwa1243,yes,bwm
blab1237,yes,blp
blan1242,yes,blr
bodo1269,yes,brx
boht1238,yes,bhn
bola1250,yes,bnp
boly1239,yes,ply
bona1250,yes,peh
bond1245,yes,bfw
bond1247,yes,bou
bora1263,yes,boa
bord1248,yes,kvn
bori1243,yes,adi
boro1282,yes,bor
boto1242,yes,sbl
boun1243,yes,nku
brah1256,yes,brh
bret1244,yes,bre
