Language_ID	L1_log10_st	Vehicularity	Education	Official	neighboring_languages_st
amun1246	NA	NA	0	0	-0.5731133087516291
amdo1237	1.4706080117964162	0	0	0	2.3677796765568973
adyg1241	NA	NA	0	0	0.10555430324264616
adze1240	0.25150647098967305	0	0	0	1.4628895272311966
areb1238	NA	NA	0	0	-0.12066823408877893
nort2666	NA	NA	0	0	-0.12066823408877893
haek1239	NA	NA	0	0	-0.346890771420204
ambe1247	NA	NA	0	0	0.5579993779054964
arem1240	NA	NA	0	0	-0.12066823408877893
aerr1238	NA	NA	0	0	-1.0255583834144792
east2379	-0.568392724628002	0	0	0	-0.7993358460830542
akeu1235	NA	NA	0	0	0.7842219152369214
amba1269	NA	NA	0	0	-0.12066823408877893
amel1241	NA	NA	0	0	0.10555430324264616
aeka1244	NA	NA	0	0	-0.5731133087516291
anda1283	NA	NA	0	0	-0.7993358460830542
putu1241	NA	NA	0	0	0.7842219152369214
akru1241	NA	NA	0	0	-0.12066823408877893
nanu1240	NA	NA	0	0	-0.12066823408877893
defa1248	-1.238959776918128	0	0	0	-0.7993358460830542
eloy1241	NA	NA	0	0	-0.12066823408877893
tape1242	NA	NA	0	0	-0.346890771420204
afri1274	NA	NA	1	1	5.7611177365282735
afit1238	NA	NA	0	0	-0.5731133087516291
awut1241	NA	NA	0	0	-0.346890771420204
obok1239	-1.3900746830975137	0	0	0	0.33177684057407125
legb1242	NA	NA	0	0	0.33177684057407125
agat1236	NA	NA	0	0	0.7842219152369214
agar1252	NA	NA	0	0	-0.346890771420204
anga1293	NA	NA	0	0	0.33177684057407125
argu1237	NA	NA	0	0	-1.0255583834144792
ango1254	NA	NA	0	0	-0.12066823408877893
ngel1238	NA	NA	0	0	1.2366669898997715
argo1244	0.3635040929694418	0	0	0	-0.346890771420204
isar1235	NA	NA	0	0	-0.7993358460830542
femb1238	NA	NA	0	0	0.10555430324264616
anga1290	-0.48827759468432175	0	0	0	0.5579993779054964
agut1237	0.04512840172882354	0	0	0	-0.346890771420204
tain1253	-0.7609291543097203	0	0	0	-0.12066823408877893
aghe1239	0.33038691276121734	0	0	0	0.5579993779054964
agua1253	0.42319159687833496	0	0	0	0.10555430324264616
esim1238	0.2956978910711882	0	0	0	1.0104444525683465
cent2084	-0.834825863837056	0	0	0	-0.346890771420204
agua1252	NA	NA	0	0	-0.5731133087516291
remo1247	-0.4847272155526618	0	0	0	-0.5731133087516291
kahu1241	NA	NA	0	0	-0.5731133087516291
aghu1253	NA	NA	0	0	-0.346890771420204
sout2905	NA	NA	0	0	-0.7993358460830542
mtir1235	NA	NA	0	0	0.10555430324264616
ahan1243	NA	NA	0	0	-0.346890771420204
axam1237	-0.776186330618326	0	0	0	-0.346890771420204
qima1242	-0.6119380441196768	0	0	0	-0.7993358460830542
aghu1255	-0.4340102943831886	0	0	0	0.10555430324264616
tiag1235	NA	NA	0	0	-0.12066823408877893
akha1245	1.1516170866229043	1	0	0	5.082450124533998
igoo1238	NA	NA	0	0	0.5579993779054964
mobu1235	NA	NA	0	0	-0.7993358460830542
ahan1244	NA	NA	0	0	-0.12066823408877893
ahom1240	NA	NA	0	0	-1.0255583834144792
apro1235	NA	NA	0	0	-0.346890771420204
ashe1269	NA	NA	0	0	0.33177684057407125
ahte1237	NA	NA	0	0	-1.0255583834144792
aros1241	-0.1926069468197736	0	0	0	-0.7993358460830542
ainu1251	NA	NA	0	0	-1.0255583834144792
ainb1238	NA	NA	0	0	-0.5731133087516291
alng1239	NA	NA	0	0	-0.12066823408877893
amar1272	-1.1975382534157957	0	0	0	-0.346890771420204
agii1245	NA	NA	0	0	0.5579993779054964
aich1238	NA	NA	0	0	-0.5731133087516291
assy1241	NA	NA	0	0	0.33177684057407125
akee1238	NA	NA	0	0	-0.5731133087516291
aime1238	-1.1187247390467787	0	0	0	-0.12066823408877893
aimo1244	NA	NA	0	0	-0.12066823408877893
ainu1240	-2.4909277559318777	0	0	0	-0.5731133087516291
aito1238	-0.640299086267308	0	0	0	-0.7993358460830542
buru1307	NA	NA	0	0	-0.12066823408877893
aima1241	NA	NA	0	0	0.10555430324264616
airo1242	NA	NA	0	0	0.33177684057407125
arik1264	NA	NA	0	0	-0.5731133087516291
aari1239	NA	NA	0	0	0.5579993779054964
aigh1235	NA	NA	0	0	-0.5731133087516291
