ISO_639	Language_ID	L2_prop	L1_scaled	L1_log10_st	Vehicularity	All_Users_scaled	All_Users_log10_scaled
nld; nld	dutc1256	0.20666477814117587	-0.12499074496971602	0.8843683142085941	1	-0.14904704649078865	0.8408250795485883
dyu; dyu; dyu	dyul1238	0.8219769673704415	-0.17571935505392777	0.6471219386476912	1	-0.11133300004603981	0.9556835398898996
ewe	ewee1241	0.13089005235602094	-0.16161661582031125	0.7402802586032641	1	-0.18045976338054082	0.6697120762076361
fij	fiji1243	0.5047318611987381	-0.20036692124650066	0.19070449095921232	0	-0.20582110239294527	0.236592768875654
fin; fin	finn1318	0.11930266139504093	-0.14198854195203964	0.8282494687637986	1	-0.16709753773929714	0.7575551560459175
kld	gami1243	1	-0.20441469100825163	-2.7588745983898058	0	-0.21086702178609437	-1.8495399458504052
gmv	gamo1243	0.014748549323017408	-0.1834023830093532	0.5745016690269725	0	-0.19769846889380605	0.4679034530708437
lug	gand1255	0.4922374429223744	-0.1327408060549539	0.8604416489686806	1	-0.12370322001630864	0.9236789124347975
krs	gbay1288	0.2	-0.20420843522421336	-0.5029859254651323	0	-0.21070869252276833	-0.5969337697486311
gof	gofa1235	0.08511722731906218	-0.199786826853893	0.22191484578583942	0	-0.20774429746683004	0.12089055007310778
guk	gumu1244	0.02648446003144274	-0.2023392421813666	0.03503942293150291	0	-0.2095514321757428	-0.0874827182025529
gvr	guru1261	0.06536697247706422	-0.20021222940847194	0.1994443591095745	0	-0.20809136412751453	0.09248563091484019
guz	gusi1247	0.15625	-0.1696090274517941	0.6921085850660085	0	-0.18539511497743055	0.627002085575137
hdy	hadi1240	0.07584128578603717	-0.18069527584385095	0.6027423185264142	0	-0.1950190505913656	0.5125666179975712
cnh	haka1240	0.22598870056497175	-0.202648625857424	-0.002577887185755179	1	-0.20945893413452366	-0.07110686198152816
hak; hak	hakk1236	0.8539944903581267	-0.20386811318055023	-0.2758869633724473	0	-0.20855624240696352	0.048295070935597005
