Glottocode	L2_prop	L1_scaled	L1_log10_scaled	All_users_scaled	All_Users_log10_scaled	number_of_lgs_in_ethnologue	ISO_639
timn1235	0.12834224598930483	-0.01903530545061347	1.3584216444456785	-0.03417186760756147	1.4033696050581663	1	tem
timu1262	NA	NA	NA	NA	NA	1	tih
tina1248	0	-0.0856648039990885	0.5703015250423819	-0.07794490293875021	0.5166146403728225	1	xsb
tira1254	0	-0.08733054146280038	0.3663779503714358	-0.07889331870425931	0.29676304248226704	1	tic
tiri1258	0	-0.08862896246015528	-0.6208745105689896	-0.07963259663429716	-0.7676015431688475	1	cir
tiru1241	0	-0.08607056056076191	0.533785206487709	-0.07817592729188705	0.4772461122549737	1	tiy
tita1241	0	-0.08843676198357314	-0.08543478959772612	-0.07952316404596918	-0.19033979979486224	1	ttv
tivv1240	0	0.09500364398812264	1.601288853055655	0.02492173008954334	1.6281301276546671	1	tiv
tiwi1244	0	-0.088567458307649	-0.31477254632986224	-0.07959757820603221	-0.4375906257749112	1	tiw
toab1237	0	-0.08811642785593625	0.1409843737891824	-0.0793407763987559	0.05376446791414609	1	mlu
toar1246	0	-0.08757826652150626	0.3145174407633825	-0.07903436515143758	0.2408518221971832	1	tqo
toba1268	0	-0.08860077305692324	-0.4353342417540422	-0.07961654652134238	-0.5675691308406956	1	tmf
tobe1252	0	-0.08747148847896062	0.3381986112981306	-0.07897356926903315	0.26638267703034374	1	tlb
toda1252	0	-0.08858795969181776	-0.3818999590415872	-0.07960925101545385	-0.5099612134852598	1	tcx
toho1245	0	-0.08805193391823868	0.1693208225038336	-0.07930405568578362	0.08431421449696444	1	ood
tojo1241	0	-0.086288387767555	0.5117370937986725	-0.07829995089199207	0.45347586983460914	1	toj
toke1240	0	-0.08849997458476015	-0.1712330480840271	-0.0795591552083526	-0.2828395720986657	1	tkl
tokp1240	0.9695230431389278	-0.08328408076249108	0.7169466985925179	0.02068401390242504	1.616963415624143	1	tpi
toll1241	0	-0.08864177582526075	-0.7940012700507435	-0.07963989214018569	-0.954250854172223	1	jic
tolo1255	0	-0.0886161490950498	-0.5194972636431509	-0.07962530112840863	-0.6583059418027222	1	tlm
toma1245	0	-0.07750696154860215	0.8997916385809874	-0.07330009752305185	0.8718405041185489	1	tod
tomb1244	NA	NA	NA	NA	NA	1	txa
tomm1242	0	-0.08609191616927105	0.5317074728004746	-0.07818808646836793	0.4750060913458336	1	dto
tond1249	0	-0.08852645553931147	-0.21825363201141915	-0.0795742325871889	-0.3335328307219756	1	tst
tong1308	0	-0.08863899959615457	-0.7450482321038664	-0.07963831144724318	-0.9014742017837766	1	tnz
tong1318	0	-0.02330642715243879	1.3425701826456822	-0.04244010761456378	1.3492035092608186	1	toi
tong1325	0	-0.08055056287332286	0.8199577138491494	-0.07503302335510768	0.7857709265991745	1	ton
tonk1249	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	tqw
toor1238	0	-0.052520899592924	1.194225395366208	-0.05907386104041551	1.1892718359623629	1	ttj
tora1259	0	-0.08856916675632973	-0.3197280693681742	-0.07959855094015068	-0.4429332138504407	1	ttu
torr1261	0	-0.08839106098136361	-0.03775832836150376	-0.0794971434083001	-0.13893943472444753	1	tcs
tosk1239	0	-0.01062845660491069	1.386964318678395	-0.03522169090492114	1.3970651739041131	1	als
tote1238	0	-0.08860675262730579	-0.46479871923631544	-0.07961995109075704	-0.5993350140444437	1	ttl
toto1302	0	-0.08859479348654069	-0.408975024286982	-0.07961314195192774	-0.5391510527022121	1	txo
touo1238	0	-0.0885747192145421	-0.3365464008340656	-0.0796017123260357	-0.4610651883050649	1	tqu
trin1274	0	-0.08852047596892892	-0.2068378650603959	-0.07957082801777425	-0.32122540324882315	1	trn
trio1238	0	-0.08854951959650133	-0.26792140674406123	-0.07958736449778826	-0.387080046419128	1	tri
