"","phy_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","model"
"85",85,-0.57,0.15,-0.87,-0.57,-0.27,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"86",86,-0.64,0.2,-1.03,-0.64,-0.25,-0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"87",87,-0.7,0.23,-1.15,-0.7,-0.26,-0.7,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"88",88,-0.71,0.23,-1.17,-0.71,-0.26,-0.71,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"89",89,-0.73,0.24,-1.21,-0.73,-0.26,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"90",90,-0.63,0.25,-1.11,-0.63,-0.15,-0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"91",91,-0.54,0.19,-0.91,-0.54,-0.18,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"92",92,-0.56,0.08,-0.72,-0.56,-0.4,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"93",93,-0.56,0.08,-0.72,-0.56,-0.4,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"94",94,-0.64,0.1,-0.83,-0.64,-0.44,-0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"95",95,-0.63,0.12,-0.86,-0.63,-0.4,-0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"96",96,-0.64,0.12,-0.88,-0.64,-0.4,-0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"97",97,-0.65,0.14,-0.93,-0.65,-0.37,-0.65,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"98",98,-0.71,0.18,-1.07,-0.71,-0.36,-0.71,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"99",99,-0.73,0.2,-1.13,-0.73,-0.34,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"100",100,-0.75,0.21,-1.16,-0.75,-0.34,-0.75,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"101",101,-0.72,0.21,-1.14,-0.72,-0.29,-0.71,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"102",102,-0.6,0.19,-0.98,-0.61,-0.23,-0.61,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"103",103,-0.59,0.21,-1,-0.59,-0.19,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"104",104,-0.59,0.23,-1.03,-0.59,-0.14,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"105",105,-0.59,0.22,-1.02,-0.59,-0.16,-0.59,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"106",106,-0.65,0.14,-0.93,-0.65,-0.37,-0.65,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"107",107,-0.71,0.18,-1.07,-0.71,-0.36,-0.71,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"108",108,-0.54,0.17,-0.88,-0.54,-0.2,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"109",109,-0.55,0.19,-0.92,-0.55,-0.18,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"110",110,-0.54,0.22,-0.98,-0.54,-0.1,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"111",111,-0.51,0.24,-0.97,-0.51,-0.05,-0.51,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"112",112,-0.56,0.23,-1.01,-0.56,-0.1,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"113",113,-0.35,0.24,-0.81,-0.35,0.12,-0.35,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"114",114,-0.69,0.11,-0.9,-0.69,-0.47,-0.69,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"115",115,-0.7,0.13,-0.96,-0.7,-0.45,-0.7,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"116",116,-0.69,0.15,-0.98,-0.69,-0.4,-0.69,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"117",117,-0.69,0.17,-1.03,-0.69,-0.35,-0.69,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"118",118,-0.7,0.17,-1.04,-0.7,-0.35,-0.7,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"119",119,-0.76,0.22,-1.18,-0.76,-0.33,-0.75,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"120",120,-0.66,0.19,-1.03,-0.66,-0.29,-0.66,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"121",121,-0.6,0.2,-1,-0.6,-0.2,-0.6,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"122",122,-0.59,0.21,-1,-0.59,-0.19,-0.6,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"123",123,-0.68,0.16,-1,-0.68,-0.37,-0.68,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"124",124,-0.69,0.17,-1.01,-0.69,-0.36,-0.69,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"125",125,-0.78,0.21,-1.18,-0.78,-0.38,-0.78,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"126",126,-0.64,0.2,-1.03,-0.64,-0.24,-0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"127",127,-0.73,0.15,-1.02,-0.73,-0.44,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"128",128,-0.73,0.15,-1.02,-0.73,-0.44,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"129",129,-0.73,0.17,-1.05,-0.73,-0.41,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"130",130,-0.73,0.22,-1.15,-0.73,-0.31,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"131",131,-0.74,0.22,-1.17,-0.74,-0.31,-0.74,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"132",132,-0.74,0.19,-1.12,-0.74,-0.36,-0.74,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"133",133,-0.77,0.2,-1.17,-0.77,-0.37,-0.77,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"134",134,-0.78,0.22,-1.22,-0.78,-0.34,-0.78,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"135",135,-0.7,0.21,-1.12,-0.7,-0.28,-0.7,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"136",136,-0.71,0.17,-1.04,-0.71,-0.38,-0.71,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"137",137,-0.7,0.17,-1.05,-0.7,-0.36,-0.7,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"138",138,-0.66,0.19,-1.04,-0.66,-0.29,-0.66,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"139",139,-0.63,0.2,-1.02,-0.63,-0.25,-0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"140",140,-0.63,0.2,-1.02,-0.63,-0.24,-0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"141",141,-0.54,0.21,-0.95,-0.54,-0.12,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"142",142,-0.46,0.23,-0.91,-0.46,-0.01,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"143",143,-0.78,0.23,-1.24,-0.78,-0.33,-0.78,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"144",144,-0.73,0.19,-1.1,-0.73,-0.36,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"145",145,-0.73,0.2,-1.11,-0.73,-0.34,-0.73,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"146",146,-0.75,0.22,-1.18,-0.75,-0.32,-0.75,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"147",147,-0.74,0.22,-1.18,-0.74,-0.31,-0.74,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"148",148,-0.71,0.21,-1.13,-0.71,-0.3,-0.71,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"149",149,-0.75,0.21,-1.18,-0.75,-0.33,-0.75,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"150",150,-0.87,0.21,-1.29,-0.87,-0.45,-0.86,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"151",151,-0.85,0.12,-1.09,-0.85,-0.6,-0.85,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"152",152,-0.93,0.12,-1.16,-0.93,-0.7,-0.93,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"153",153,-0.99,0.11,-1.2,-0.99,-0.78,-0.99,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"154",154,-1,0.11,-1.21,-1,-0.79,-1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"155",155,-1,0.11,-1.22,-1,-0.79,-1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"156",156,-1.01,0.11,-1.23,-1.01,-0.79,-1.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"157",157,-1.01,0.15,-1.31,-1,-0.71,-1,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"158",158,-0.99,0.16,-1.32,-0.99,-0.67,-0.99,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"159",159,-1.03,0.12,-1.27,-1.03,-0.79,-1.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"160",160,-1.07,0.15,-1.35,-1.07,-0.78,-1.06,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"161",161,-1.04,0.14,-1.3,-1.04,-0.77,-1.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"162",162,-1.04,0.14,-1.32,-1.04,-0.76,-1.04,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"163",163,-0.98,0.13,-1.23,-0.98,-0.74,-0.98,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"164",164,-0.98,0.15,-1.27,-0.98,-0.69,-0.98,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"165",165,-1.01,0.18,-1.37,-1.01,-0.65,-1.01,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"166",166,-0.94,0.16,-1.26,-0.94,-0.63,-0.94,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"167",167,-0.91,0.18,-1.26,-0.91,-0.56,-0.91,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"168",168,-1.02,0.11,-1.24,-1.02,-0.8,-1.02,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"169",169,-1.03,0.11,-1.25,-1.03,-0.8,-1.03,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"170",170,-1.12,0.13,-1.38,-1.12,-0.87,-1.12,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"171",171,-1.14,0.13,-1.39,-1.14,-0.88,-1.14,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"172",172,-1.16,0.14,-1.43,-1.16,-0.89,-1.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"173",173,-1.16,0.14,-1.44,-1.16,-0.88,-1.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"174",174,-1.16,0.15,-1.46,-1.16,-0.87,-1.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"175",175,-1.19,0.16,-1.51,-1.19,-0.88,-1.19,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"176",176,-1.16,0.16,-1.47,-1.16,-0.86,-1.16,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"177",177,-0.99,0.17,-1.32,-0.99,-0.67,-0.99,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"178",178,-0.81,0.18,-1.16,-0.81,-0.45,-0.81,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"179",179,-0.55,0.1,-0.74,-0.55,-0.37,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"180",180,-0.57,0.17,-0.89,-0.57,-0.24,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"181",181,-0.53,0.18,-0.89,-0.53,-0.17,-0.53,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"182",182,-0.53,0.19,-0.9,-0.53,-0.15,-0.53,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"183",183,-0.54,0.2,-0.94,-0.54,-0.14,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"184",184,-0.55,0.21,-0.96,-0.55,-0.14,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"185",185,-0.55,0.21,-0.96,-0.55,-0.13,-0.55,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"186",186,-0.56,0.22,-0.99,-0.56,-0.12,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"187",187,-0.64,0.21,-1.05,-0.64,-0.24,-0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"188",188,-0.64,0.23,-1.09,-0.64,-0.19,-0.64,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"189",189,-0.47,0.15,-0.76,-0.47,-0.19,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"190",190,-0.46,0.15,-0.75,-0.46,-0.16,-0.46,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"191",191,-0.44,0.16,-0.74,-0.44,-0.13,-0.44,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"192",192,-0.4,0.16,-0.71,-0.4,-0.09,-0.4,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"193",193,-0.38,0.16,-0.7,-0.38,-0.07,-0.38,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"194",194,-0.35,0.17,-0.69,-0.35,-0.01,-0.35,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"195",195,-0.33,0.18,-0.69,-0.33,0.02,-0.33,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"196",196,-0.36,0.18,-0.72,-0.36,0,-0.36,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"197",197,-0.37,0.18,-0.71,-0.37,-0.02,-0.37,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"198",198,-0.35,0.2,-0.74,-0.35,0.05,-0.35,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"199",199,-0.54,0.11,-0.76,-0.54,-0.32,-0.54,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"200",200,-0.79,0.23,-1.24,-0.79,-0.35,-0.79,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"201",201,-0.47,0.14,-0.75,-0.47,-0.18,-0.47,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"202",202,-0.58,0.1,-0.78,-0.58,-0.38,-0.58,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"203",203,-0.58,0.12,-0.82,-0.58,-0.35,-0.58,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"204",204,-0.57,0.13,-0.83,-0.57,-0.31,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"205",205,-0.56,0.23,-1.01,-0.56,-0.1,-0.56,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"206",206,-0.56,0.14,-0.85,-0.56,-0.28,-0.57,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"207",207,-0.63,0.16,-0.95,-0.63,-0.31,-0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"208",208,-0.63,0.1,-0.83,-0.63,-0.43,-0.63,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"209",209,-0.65,0.11,-0.87,-0.65,-0.43,-0.65,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"210",210,-0.75,0.15,-1.04,-0.75,-0.47,-0.75,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"211",211,-0.8,0.2,-1.18,-0.8,-0.41,-0.79,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"212",212,-0.94,0.23,-1.39,-0.94,-0.5,-0.94,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"213",213,-0.96,0.23,-1.41,-0.96,-0.51,-0.95,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"214",214,-0.95,0.24,-1.43,-0.95,-0.47,-0.95,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"215",215,-0.82,0.17,-1.15,-0.82,-0.49,-0.82,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"216",216,-0.81,0.18,-1.17,-0.81,-0.45,-0.81,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"217",217,-0.9,0.24,-1.36,-0.9,-0.44,-0.89,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
"218",218,-0.85,0.18,-1.21,-0.85,-0.5,-0.85,0,"Phylogenetic+Spatial: local+L1 speakers (linear)"
