Language_ID	Informativity	informativity_st
bala1311	0.24390243902439024	-0.7421378037379361
bala1315	0.3333333333333333	0.35076273380235806
bala1316	0.38461538461538464	0.9774609441401497
bali1278	0.4090909090909091	1.2765669081650046
balu1257	0.42592592592592593	1.4823011691344814
bamu1253	0.3333333333333333	0.35076273380235806
band1344	0.28	-0.3010034049489442
bang1354	0.3333333333333333	0.35076273380235806
bant1281	0.4339622641509434	1.5805101654085902
bant1288	0.2894736842105263	-0.18522915661812087
bara1357	0.2608695652173913	-0.5347890851532163
bara1361	0.24444444444444444	-0.7355141641164799
bara1370	0.16666666666666666	-1.6860064497954632
barg1252	0.375	0.8599550297018136
bari1286	0.2653061224489796	-0.48057162684981347
baro1253	0.4	1.1654704072414872
bash1264	0.28	-0.3010034049489442
basq1248	0.2692307692307692	-0.43261002911988083
