"","model","sp_id","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"56","Spatial: local",55,-0.76,0.28,-1.3,-0.76,-0.21,-0.75,0
"57","Spatial: local",56,-0.32,0.34,-0.99,-0.32,0.35,-0.31,0
"58","Spatial: local",57,-0.25,0.32,-0.87,-0.25,0.37,-0.25,0
"59","Spatial: local",58,-0.28,0.35,-0.96,-0.28,0.4,-0.28,0
"60","Spatial: local",59,-0.34,0.36,-1.04,-0.34,0.36,-0.34,0
"61","Spatial: local",60,-0.2,0.32,-0.82,-0.2,0.42,-0.2,0
"62","Spatial: local",61,-0.14,0.33,-0.79,-0.14,0.51,-0.14,0
"63","Spatial: local",62,-0.41,0.3,-1,-0.41,0.18,-0.41,0
"64","Spatial: local",63,-0.27,0.29,-0.84,-0.27,0.31,-0.27,0
"65","Spatial: local",64,-0.38,0.25,-0.87,-0.38,0.12,-0.38,0
"66","Spatial: local",65,-0.05,0.29,-0.61,-0.05,0.51,-0.05,0
"67","Spatial: local",66,-0.18,0.27,-0.71,-0.18,0.34,-0.18,0
"68","Spatial: local",67,-0.42,0.26,-0.94,-0.42,0.09,-0.42,0
"69","Spatial: local",68,-0.24,0.32,-0.86,-0.24,0.38,-0.24,0
"70","Spatial: local",69,-0.23,0.35,-0.93,-0.23,0.46,-0.23,0
"71","Spatial: local",70,0.03,0.32,-0.6,0.03,0.66,0.03,0
"72","Spatial: local",71,0.16,0.31,-0.46,0.16,0.78,0.16,0
"73","Spatial: local",72,0.01,0.3,-0.59,0.01,0.6,0.01,0
"74","Spatial: local",73,0,0.33,-0.64,0,0.64,0,0
"75","Spatial: local",74,0.05,0.3,-0.55,0.05,0.64,0.05,0
"76","Spatial: local",75,0.1,0.31,-0.51,0.1,0.72,0.1,0
"77","Spatial: local",76,0.25,0.33,-0.4,0.25,0.9,0.25,0
"78","Spatial: local",77,0.21,0.31,-0.4,0.21,0.82,0.21,0
"79","Spatial: local",78,0.12,0.46,-0.79,0.12,1.03,0.12,0
"80","Spatial: local",79,0.53,0.45,-0.34,0.53,1.41,0.53,0
"81","Spatial: local",80,0.4,0.47,-0.53,0.4,1.33,0.39,0
"82","Spatial: local",81,0.47,0.31,-0.14,0.47,1.08,0.47,0
"83","Spatial: local",82,0.27,0.32,-0.37,0.27,0.9,0.27,0
"84","Spatial: local",83,0.42,0.32,-0.2,0.42,1.04,0.42,0
"85","Spatial: local",84,0.28,0.33,-0.35,0.28,0.92,0.28,0
"86","Spatial: local",85,0.14,0.39,-0.63,0.14,0.91,0.14,0
"87","Spatial: local",86,0.24,0.44,-0.62,0.24,1.1,0.24,0
"88","Spatial: local",87,0.5,0.37,-0.22,0.5,1.22,0.5,0
"89","Spatial: local",88,0.44,0.38,-0.3,0.44,1.18,0.44,0
"90","Spatial: local",89,0.48,0.34,-0.18,0.48,1.14,0.48,0
"91","Spatial: local",90,0.55,0.34,-0.13,0.55,1.22,0.55,0
"92","Spatial: local",91,-0.07,0.38,-0.82,-0.07,0.68,-0.06,0
"93","Spatial: local",92,0,0.43,-0.85,0,0.85,0,0
"94","Spatial: local",93,0.3,0.35,-0.39,0.3,1,0.3,0
"95","Spatial: local",94,-0.07,0.39,-0.82,-0.07,0.69,-0.07,0
"96","Spatial: local",95,-0.06,0.29,-0.64,-0.06,0.51,-0.06,0
"97","Spatial: local",96,-0.07,0.29,-0.64,-0.07,0.5,-0.07,0
"98","Spatial: local",97,-0.07,0.3,-0.65,-0.07,0.51,-0.07,0
"99","Spatial: local",98,-0.07,0.29,-0.63,-0.07,0.49,-0.07,0
"100","Spatial: local",99,-0.09,0.34,-0.75,-0.09,0.57,-0.09,0
"101","Spatial: local",100,-0.09,0.35,-0.78,-0.09,0.59,-0.09,0
"102","Spatial: local",101,-0.44,0.26,-0.95,-0.44,0.06,-0.44,0
"103","Spatial: local",102,-0.49,0.26,-1,-0.49,0.01,-0.49,0
"104","Spatial: local",103,-0.14,0.36,-0.84,-0.14,0.57,-0.14,0
"105","Spatial: local",104,-0.55,0.23,-1.01,-0.55,-0.1,-0.55,0
"106","Spatial: local",105,-0.21,0.3,-0.79,-0.21,0.38,-0.21,0
"107","Spatial: local",106,-0.47,0.24,-0.94,-0.47,0,-0.47,0
"108","Spatial: local",107,-0.25,0.28,-0.8,-0.25,0.31,-0.25,0
"109","Spatial: local",108,-0.04,0.34,-0.71,-0.04,0.64,-0.04,0
"110","Spatial: local",109,-0.05,0.39,-0.81,-0.05,0.72,-0.05,0
"111","Spatial: local",110,-0.13,0.38,-0.87,-0.13,0.61,-0.13,0
"112","Spatial: local",111,-0.13,0.29,-0.69,-0.13,0.44,-0.13,0
"113","Spatial: local",112,-0.05,0.29,-0.61,-0.05,0.52,-0.05,0
"114","Spatial: local",113,-0.12,0.25,-0.62,-0.12,0.38,-0.12,0
"115","Spatial: local",114,-0.12,0.25,-0.62,-0.12,0.38,-0.12,0
"116","Spatial: local",115,-0.12,0.25,-0.62,-0.13,0.37,-0.13,0
"117","Spatial: local",116,-0.4,0.25,-0.89,-0.4,0.09,-0.4,0
"118","Spatial: local",117,-0.39,0.25,-0.87,-0.39,0.1,-0.39,0
"119","Spatial: local",118,-0.39,0.27,-0.93,-0.39,0.15,-0.39,0
"120","Spatial: local",119,-0.3,0.35,-0.98,-0.3,0.38,-0.3,0
"121","Spatial: local",120,-0.37,0.34,-1.04,-0.37,0.29,-0.37,0
"122","Spatial: local",121,-0.5,0.2,-0.89,-0.5,-0.11,-0.5,0
"123","Spatial: local",122,-0.44,0.21,-0.86,-0.44,-0.03,-0.44,0
"124","Spatial: local",123,-0.48,0.21,-0.9,-0.48,-0.07,-0.48,0
"125","Spatial: local",124,-0.42,0.21,-0.84,-0.42,0,-0.42,0
"126","Spatial: local",125,-0.54,0.19,-0.93,-0.54,-0.16,-0.54,0
"127","Spatial: local",126,-0.58,0.19,-0.97,-0.58,-0.2,-0.58,0
"128","Spatial: local",127,-0.74,0.2,-1.14,-0.74,-0.34,-0.74,0
"129","Spatial: local",128,-0.76,0.22,-1.19,-0.76,-0.33,-0.76,0
"130","Spatial: local",129,-0.79,0.22,-1.22,-0.79,-0.36,-0.79,0
"131","Spatial: local",130,-0.75,0.21,-1.16,-0.75,-0.34,-0.75,0
"132","Spatial: local",131,-0.76,0.2,-1.16,-0.76,-0.36,-0.76,0
"133","Spatial: local",132,-0.66,0.2,-1.05,-0.66,-0.27,-0.66,0
"134","Spatial: local",133,-0.62,0.24,-1.1,-0.62,-0.15,-0.62,0
"135","Spatial: local",134,-0.66,0.2,-1.04,-0.66,-0.27,-0.66,0
"136","Spatial: local",135,-0.72,0.2,-1.11,-0.72,-0.33,-0.72,0
"137","Spatial: local",136,-0.3,0.22,-0.73,-0.3,0.14,-0.3,0
"138","Spatial: local",137,-0.22,0.24,-0.68,-0.22,0.25,-0.22,0
"139","Spatial: local",138,0.36,0.46,-0.55,0.36,1.27,0.36,0
"140","Spatial: local",139,0.6,0.47,-0.32,0.6,1.53,0.6,0
"141","Spatial: local",140,0.47,0.44,-0.4,0.47,1.34,0.47,0
"142","Spatial: local",141,-0.31,0.48,-1.26,-0.31,0.63,-0.31,0
"143","Spatial: local",142,0.24,0.38,-0.51,0.24,0.98,0.24,0
"144","Spatial: local",143,-0.42,0.3,-1.02,-0.42,0.18,-0.42,0
"145","Spatial: local",144,0.3,0.37,-0.42,0.3,1.03,0.3,0
"146","Spatial: local",145,-0.02,0.39,-0.79,-0.02,0.75,-0.02,0
"147","Spatial: local",146,0.03,0.48,-0.91,0.03,0.98,0.03,0
"148","Spatial: local",147,-0.2,0.48,-1.14,-0.2,0.73,-0.2,0
"149","Spatial: local",148,1.01,0.5,0.04,1.01,1.99,1.01,0
"150","Spatial: local",149,0.17,0.49,-0.78,0.17,1.13,0.17,0
"151","Spatial: local",150,0.52,0.49,-0.44,0.52,1.49,0.52,0
"152","Spatial: local",151,0.07,0.49,-0.88,0.07,1.03,0.07,0
"153","Spatial: local",152,0.18,0.49,-0.78,0.18,1.14,0.18,0
"154","Spatial: local",153,0.15,0.49,-0.81,0.15,1.11,0.15,0
"155","Spatial: local",154,0.12,0.49,-0.84,0.12,1.08,0.12,0
"156","Spatial: local",155,-0.04,0.49,-1,-0.04,0.92,-0.04,0
"157","Spatial: local",156,-0.15,0.49,-1.11,-0.15,0.81,-0.15,0
"158","Spatial: local",157,0.03,0.49,-0.93,0.03,0.99,0.03,0
"159","Spatial: local",158,0.08,0.49,-0.88,0.08,1.04,0.08,0
"160","Spatial: local",159,-0.17,0.49,-1.13,-0.17,0.79,-0.17,0
"161","Spatial: local",160,0.68,0.47,-0.24,0.68,1.61,0.68,0
"162","Spatial: local",161,0.93,0.48,-0.01,0.93,1.88,0.92,0
"163","Spatial: local",162,0.44,0.47,-0.47,0.44,1.35,0.44,0
"164","Spatial: local",163,0.54,0.49,-0.42,0.54,1.5,0.54,0
"165","Spatial: local",164,0.58,0.45,-0.29,0.58,1.46,0.58,0
"166","Spatial: local",165,0.49,0.44,-0.38,0.49,1.36,0.49,0
"167","Spatial: local",166,-0.15,0.49,-1.11,-0.15,0.81,-0.14,0
"168","Spatial: local",167,0.23,0.34,-0.43,0.23,0.89,0.23,0
"169","Spatial: local",168,0.19,0.34,-0.48,0.19,0.85,0.19,0
"170","Spatial: local",169,0.18,0.29,-0.4,0.18,0.75,0.18,0
"171","Spatial: local",170,0.16,0.29,-0.4,0.16,0.72,0.16,0
"172","Spatial: local",171,0.19,0.3,-0.4,0.19,0.78,0.19,0
"173","Spatial: local",172,0.34,0.47,-0.57,0.34,1.25,0.34,0
"174","Spatial: local",173,0.22,0.34,-0.45,0.22,0.9,0.22,0
"175","Spatial: local",174,0.11,0.29,-0.47,0.11,0.69,0.11,0
"176","Spatial: local",175,0.21,0.33,-0.44,0.21,0.85,0.21,0
"177","Spatial: local",176,0.15,0.31,-0.47,0.15,0.77,0.15,0
"178","Spatial: local",177,0.45,0.48,-0.49,0.45,1.4,0.45,0
"179","Spatial: local",178,0,0.49,-0.96,0,0.96,0,0
"180","Spatial: local",179,-0.15,0.49,-1.11,-0.15,0.8,-0.15,0
"181","Spatial: local",180,0.49,0.47,-0.44,0.49,1.42,0.49,0
"182","Spatial: local",181,0.59,0.45,-0.28,0.59,1.47,0.59,0
"183","Spatial: local",182,0.59,0.45,-0.29,0.59,1.49,0.59,0
"184","Spatial: local",183,0.36,0.47,-0.57,0.36,1.29,0.36,0
"185","Spatial: local",184,0.65,0.49,-0.31,0.65,1.62,0.64,0
"186","Spatial: local",185,-0.3,0.49,-1.26,-0.3,0.66,-0.3,0
"187","Spatial: local",186,0.61,0.49,-0.34,0.61,1.56,0.6,0
"188","Spatial: local",187,0.71,0.49,-0.25,0.71,1.68,0.71,0
"189","Spatial: local",188,-0.2,0.38,-0.95,-0.2,0.56,-0.2,0
"190","Spatial: local",189,-0.21,0.38,-0.96,-0.21,0.54,-0.21,0
"191","Spatial: local",190,0.22,0.37,-0.51,0.22,0.95,0.22,0
"192","Spatial: local",191,0.18,0.4,-0.61,0.18,0.96,0.18,0
"193","Spatial: local",192,-0.02,0.42,-0.84,-0.02,0.8,-0.02,0
"194","Spatial: local",193,0.05,0.44,-0.83,0.05,0.92,0.04,0
"195","Spatial: local",194,0.04,0.4,-0.74,0.04,0.81,0.04,0
"196","Spatial: local",195,-0.05,0.43,-0.9,-0.05,0.8,-0.05,0
"197","Spatial: local",196,-0.15,0.46,-1.04,-0.15,0.75,-0.15,0
"198","Spatial: local",197,-0.28,0.46,-1.18,-0.28,0.61,-0.28,0
"199","Spatial: local",198,-0.14,0.43,-0.99,-0.14,0.71,-0.14,0
"200","Spatial: local",199,-1.14,0.35,-1.83,-1.14,-0.46,-1.14,0
"201","Spatial: local",200,-0.88,0.35,-1.57,-0.88,-0.19,-0.88,0
"202","Spatial: local",201,-1.08,0.35,-1.77,-1.08,-0.4,-1.08,0
"203","Spatial: local",202,-1.11,0.36,-1.8,-1.1,-0.41,-1.1,0
"204","Spatial: local",203,-1.07,0.36,-1.77,-1.07,-0.38,-1.07,0
"205","Spatial: local",204,-0.52,0.44,-1.39,-0.52,0.35,-0.52,0
"206","Spatial: local",205,-0.46,0.4,-1.24,-0.46,0.32,-0.46,0
"207","Spatial: local",206,-0.6,0.42,-1.42,-0.6,0.23,-0.59,0
"208","Spatial: local",207,-0.99,0.38,-1.75,-0.99,-0.24,-0.99,0
"209","Spatial: local",208,-0.94,0.41,-1.75,-0.94,-0.13,-0.94,0
"210","Spatial: local",209,-1,0.38,-1.75,-1,-0.25,-1,0
"211","Spatial: local",210,-0.08,0.41,-0.89,-0.08,0.73,-0.08,0
"212","Spatial: local",211,-0.08,0.42,-0.91,-0.08,0.74,-0.08,0
"213","Spatial: local",212,-0.55,0.42,-1.37,-0.55,0.27,-0.54,0
"214","Spatial: local",213,-0.2,0.4,-0.99,-0.2,0.59,-0.2,0
"215","Spatial: local",214,-0.22,0.38,-0.96,-0.22,0.52,-0.22,0
"216","Spatial: local",215,-0.28,0.39,-1.04,-0.28,0.47,-0.28,0
"217","Spatial: local",216,-0.18,0.4,-0.96,-0.18,0.6,-0.18,0
"218","Spatial: local",217,-0.32,0.41,-1.12,-0.32,0.48,-0.32,0
"219","Spatial: local",218,0.17,0.48,-0.77,0.17,1.1,0.17,0
"220","Spatial: local",219,-0.91,0.46,-1.81,-0.91,-0.02,-0.91,0
"221","Spatial: local",220,-0.5,0.43,-1.35,-0.5,0.35,-0.5,0
"222","Spatial: local",221,-0.49,0.48,-1.44,-0.49,0.46,-0.49,0
"223","Spatial: local",222,0.05,0.39,-0.72,0.05,0.83,0.05,0
"224","Spatial: local",223,0.08,0.39,-0.68,0.08,0.84,0.08,0
"225","Spatial: local",224,-0.14,0.47,-1.07,-0.14,0.78,-0.14,0
"226","Spatial: local",225,-0.75,0.46,-1.66,-0.75,0.15,-0.75,0
"227","Spatial: local",226,-0.38,0.45,-1.27,-0.38,0.51,-0.38,0
"228","Spatial: local",227,-0.9,0.39,-1.66,-0.9,-0.14,-0.9,0
"229","Spatial: local",228,-0.95,0.42,-1.78,-0.95,-0.14,-0.95,0
"230","Spatial: local",229,-0.37,0.49,-1.32,-0.37,0.59,-0.36,0
"231","Spatial: local",230,-1.23,0.44,-2.09,-1.22,-0.36,-1.22,0
"232","Spatial: local",231,0.42,0.47,-0.5,0.42,1.33,0.41,0
"233","Spatial: local",232,0.02,0.46,-0.9,0.02,0.93,0.02,0
"234","Spatial: local",233,-0.58,0.48,-1.52,-0.57,0.37,-0.57,0
"235","Spatial: local",234,-0.19,0.44,-1.05,-0.19,0.67,-0.19,0
"236","Spatial: local",235,-0.55,0.49,-1.52,-0.55,0.41,-0.55,0
"237","Spatial: local",236,-0.7,0.48,-1.66,-0.7,0.25,-0.7,0
"238","Spatial: local",237,-0.38,0.45,-1.26,-0.38,0.49,-0.38,0
"239","Spatial: local",238,-0.3,0.42,-1.12,-0.3,0.52,-0.3,0
"240","Spatial: local",239,-0.25,0.46,-1.15,-0.25,0.65,-0.25,0
"241","Spatial: local",240,-0.19,0.48,-1.13,-0.19,0.75,-0.19,0
"242","Spatial: local",241,-0.48,0.47,-1.41,-0.48,0.45,-0.47,0
"243","Spatial: local",242,-0.16,0.48,-1.1,-0.16,0.77,-0.16,0
"244","Spatial: local",243,-0.29,0.48,-1.23,-0.29,0.65,-0.29,0
"245","Spatial: local",244,0.12,0.49,-0.84,0.12,1.08,0.12,0
"246","Spatial: local",245,-0.27,0.43,-1.11,-0.27,0.58,-0.26,0
"247","Spatial: local",246,0.2,0.44,-0.67,0.2,1.06,0.2,0
"248","Spatial: local",247,0.2,0.41,-0.61,0.2,1.01,0.2,0
"249","Spatial: local",248,-0.17,0.42,-0.99,-0.17,0.65,-0.17,0
"250","Spatial: local",249,-0.04,0.47,-0.97,-0.04,0.89,-0.04,0
"251","Spatial: local",250,0.49,0.45,-0.39,0.49,1.38,0.49,0
"252","Spatial: local",251,-0.77,0.44,-1.64,-0.76,0.1,-0.76,0
"253","Spatial: local",252,0.09,0.45,-0.78,0.09,0.97,0.09,0
"254","Spatial: local",253,-0.62,0.45,-1.51,-0.62,0.25,-0.62,0
"255","Spatial: local",254,-0.32,0.44,-1.18,-0.32,0.53,-0.32,0
"256","Spatial: local",255,-0.29,0.39,-1.06,-0.29,0.47,-0.29,0
"257","Spatial: local",256,-0.37,0.39,-1.15,-0.37,0.4,-0.37,0
"258","Spatial: local",257,0.25,0.39,-0.51,0.25,1.01,0.25,0
"259","Spatial: local",258,0.54,0.4,-0.25,0.54,1.33,0.54,0
"260","Spatial: local",259,-0.37,0.36,-1.07,-0.37,0.33,-0.37,0
"261","Spatial: local",260,-0.04,0.32,-0.67,-0.04,0.59,-0.04,0
"262","Spatial: local",261,-0.32,0.33,-0.98,-0.32,0.32,-0.32,0
"263","Spatial: local",262,-0.34,0.39,-1.11,-0.34,0.43,-0.34,0
"264","Spatial: local",263,-0.33,0.36,-1.03,-0.33,0.38,-0.33,0
"265","Spatial: local",264,0.08,0.33,-0.57,0.08,0.73,0.08,0
"266","Spatial: local",265,0.2,0.26,-0.31,0.2,0.72,0.2,0
"267","Spatial: local",266,0.24,0.26,-0.27,0.24,0.75,0.24,0
"268","Spatial: local",267,0.26,0.29,-0.32,0.26,0.84,0.26,0
"269","Spatial: local",268,0.2,0.36,-0.5,0.2,0.89,0.2,0
"270","Spatial: local",269,0.18,0.26,-0.33,0.18,0.7,0.18,0
"271","Spatial: local",270,0.24,0.3,-0.35,0.24,0.83,0.24,0
"272","Spatial: local",271,0.14,0.32,-0.49,0.14,0.77,0.14,0
"273","Spatial: local",272,0.22,0.29,-0.35,0.22,0.79,0.22,0
"274","Spatial: local",273,-0.06,0.42,-0.89,-0.06,0.77,-0.06,0
"275","Spatial: local",274,0.13,0.45,-0.75,0.13,1.02,0.13,0
"276","Spatial: local",275,-0.05,0.42,-0.87,-0.05,0.76,-0.05,0
"277","Spatial: local",276,-0.07,0.43,-0.91,-0.07,0.78,-0.07,0
"278","Spatial: local",277,-0.1,0.37,-0.83,-0.1,0.63,-0.1,0
"279","Spatial: local",278,-0.42,0.38,-1.17,-0.41,0.33,-0.41,0
"280","Spatial: local",279,-0.48,0.37,-1.21,-0.48,0.25,-0.48,0
"281","Spatial: local",280,-0.27,0.36,-0.97,-0.27,0.43,-0.27,0
"282","Spatial: local",281,-0.04,0.39,-0.8,-0.04,0.72,-0.04,0
"283","Spatial: local",282,0.22,0.45,-0.66,0.22,1.1,0.22,0
"284","Spatial: local",283,0.39,0.45,-0.48,0.39,1.26,0.38,0
"285","Spatial: local",284,0.3,0.39,-0.47,0.3,1.07,0.3,0
"286","Spatial: local",285,0.2,0.43,-0.64,0.2,1.04,0.2,0
"287","Spatial: local",286,0.34,0.44,-0.51,0.34,1.21,0.34,0
"288","Spatial: local",287,-0.18,0.37,-0.91,-0.18,0.55,-0.18,0
"289","Spatial: local",288,0.01,0.46,-0.9,0.01,0.92,0.01,0
"290","Spatial: local",289,0.59,0.46,-0.3,0.59,1.49,0.59,0
"291","Spatial: local",290,0.3,0.38,-0.45,0.3,1.05,0.3,0
"292","Spatial: local",291,-0.21,0.4,-0.98,-0.21,0.57,-0.21,0
"293","Spatial: local",292,0.13,0.48,-0.82,0.13,1.07,0.13,0
"294","Spatial: local",293,-0.42,0.49,-1.38,-0.42,0.53,-0.42,0
"295","Spatial: local",294,-0.36,0.35,-1.06,-0.36,0.33,-0.36,0
"296","Spatial: local",295,-0.29,0.4,-1.08,-0.29,0.5,-0.29,0
"297","Spatial: local",296,-0.48,0.35,-1.17,-0.48,0.22,-0.47,0
"298","Spatial: local",297,-0.15,0.39,-0.92,-0.15,0.63,-0.15,0
"299","Spatial: local",298,-0.43,0.32,-1.06,-0.43,0.2,-0.43,0
"300","Spatial: local",299,-0.39,0.34,-1.05,-0.39,0.27,-0.39,0
"301","Spatial: local",300,-0.16,0.36,-0.86,-0.16,0.55,-0.16,0
"302","Spatial: local",301,0.09,0.47,-0.83,0.09,1,0.09,0
"303","Spatial: local",302,0.27,0.46,-0.62,0.27,1.17,0.27,0
"304","Spatial: local",303,0.17,0.44,-0.7,0.17,1.04,0.17,0
"305","Spatial: local",304,-0.14,0.47,-1.07,-0.14,0.78,-0.14,0
"306","Spatial: local",305,-0.3,0.43,-1.16,-0.3,0.54,-0.3,0
"307","Spatial: local",306,-0.29,0.42,-1.12,-0.29,0.54,-0.29,0
"308","Spatial: local",307,0.15,0.49,-0.81,0.15,1.11,0.15,0
"309","Spatial: local",308,-0.46,0.34,-1.13,-0.46,0.21,-0.46,0
"310","Spatial: local",309,-0.37,0.36,-1.09,-0.37,0.34,-0.37,0
"311","Spatial: local",310,-0.11,0.38,-0.86,-0.11,0.64,-0.11,0
"312","Spatial: local",311,-0.44,0.39,-1.2,-0.44,0.32,-0.44,0
"313","Spatial: local",312,-0.43,0.33,-1.07,-0.43,0.22,-0.43,0
"314","Spatial: local",313,-0.24,0.36,-0.96,-0.24,0.47,-0.24,0
"315","Spatial: local",314,-0.56,0.37,-1.28,-0.56,0.17,-0.55,0
"316","Spatial: local",315,0.31,0.34,-0.35,0.31,0.97,0.31,0
"317","Spatial: local",316,-0.42,0.35,-1.1,-0.42,0.26,-0.42,0
"318","Spatial: local",317,-0.37,0.35,-1.07,-0.37,0.33,-0.37,0
"319","Spatial: local",318,-0.43,0.39,-1.19,-0.43,0.33,-0.43,0
"320","Spatial: local",319,0.07,0.37,-0.65,0.07,0.8,0.07,0
"321","Spatial: local",320,0.02,0.38,-0.72,0.02,0.77,0.02,0
"322","Spatial: local",321,0.1,0.39,-0.67,0.1,0.87,0.1,0
"323","Spatial: local",322,-0.37,0.37,-1.09,-0.37,0.35,-0.37,0
"324","Spatial: local",323,-0.46,0.35,-1.16,-0.46,0.23,-0.46,0
"325","Spatial: local",324,-0.65,0.36,-1.36,-0.65,0.06,-0.65,0
"326","Spatial: local",325,-0.52,0.3,-1.11,-0.52,0.07,-0.52,0
"327","Spatial: local",326,-0.56,0.4,-1.35,-0.56,0.22,-0.56,0
"328","Spatial: local",327,-0.93,0.44,-1.79,-0.93,-0.07,-0.92,0
"329","Spatial: local",328,-0.84,0.36,-1.55,-0.84,-0.12,-0.84,0
"330","Spatial: local",329,-0.87,0.37,-1.6,-0.87,-0.14,-0.87,0
"331","Spatial: local",330,-0.58,0.37,-1.3,-0.58,0.14,-0.58,0
"332","Spatial: local",331,-0.64,0.31,-1.25,-0.64,-0.02,-0.64,0
"333","Spatial: local",332,-0.59,0.34,-1.25,-0.59,0.08,-0.59,0
"334","Spatial: local",333,-0.52,0.3,-1.11,-0.52,0.07,-0.52,0
"335","Spatial: local",334,0.21,0.34,-0.45,0.21,0.87,0.21,0
"336","Spatial: local",335,0.56,0.41,-0.24,0.56,1.37,0.56,0
"337","Spatial: local",336,0.6,0.42,-0.22,0.6,1.43,0.6,0
"338","Spatial: local",337,0.84,0.4,0.06,0.84,1.63,0.84,0
"339","Spatial: local",338,0.7,0.39,-0.07,0.7,1.47,0.7,0
"340","Spatial: local",339,0.1,0.37,-0.63,0.1,0.83,0.1,0
"341","Spatial: local",340,0.1,0.39,-0.67,0.11,0.88,0.11,0
