ISO_639,Name,Language_ID,92A,112A,26A,38A,57A,101A,70A,20A,28A,29A,39A,48A,49A,65A,66A,67A,77A,98A,100A,102A,22A,34A,36A,41A,59A,73A,74A,75A,76A,na_proportion
spa,Spanish,stan1288,6,2,2,2,4,2,1,1,3,2,3,2,1,1,1,1,1,2,2,5,3,6,4,3,1,2,2,1,1,0
squ,Squamish,squa1248,3,3,2,1,3,2,NA,1,1,3,3,1,2,NA,NA,NA,3,1,2,5,5,NA,NA,NA,1,2,1,2,3,0.2413793103448276
sue,Suena,suen1241,6,NA,2,NA,4,5,1,NA,2,2,5,2,4,2,2,1,2,4,2,2,NA,2,NA,NA,1,2,2,NA,NA,0.27586206896551724
spp,Supyire,supy1237,2,2,3,1,4,1,2,2,1,1,3,2,9,1,2,2,1,1,1,1,2,6,3,1,1,2,2,1,3,0
swh,Swahili,swah1253,1,1,5,NA,2,2,1,1,1,2,3,2,1,2,1,1,1,1,2,5,3,6,3,2,1,2,1,2,2,0.034482758620689655
mky,Taba,east2440,6,2,1,5,NA,1,5,NA,1,3,5,2,1,NA,NA,NA,1,1,4,2,NA,3,NA,NA,NA,2,2,2,3,0.3103448275862069
tgl,Tagalog,taga1270,3,2,1,NA,NA,NA,1,1,1,1,5,1,1,1,4,1,2,1,1,1,2,4,3,3,1,1,1,3,1,0.10344827586206896
tha,Thai,thai1261,2,3,1,1,4,5,5,7,1,1,2,2,1,2,4,2,1,1,1,1,2,NA,4,NA,1,2,2,1,1,0.06896551724137931
tiw,Tiwi,tiwi1244,2,2,6,5,4,2,1,1,1,2,5,2,1,2,1,1,1,1,2,5,3,3,NA,2,2,2,NA,2,NA,0.10344827586206896
tli,Tlingit,tlin1245,NA,2,4,NA,1,2,5,1,1,3,3,4,7,NA,NA,NA,1,NA,4,5,NA,NA,NA,4,2,NA,1,3,3,0.3448275862068966
tpy,Trumai,trum1247,NA,2,2,NA,3,1,5,7,4,1,2,2,5,NA,NA,NA,2,4,3,3,5,3,NA,2,3,2,2,2,3,0.20689655172413793
bhq khc,Tukang Besi,tuka1247,2,NA,5,4,4,2,2,7,1,3,3,2,1,2,4,1,1,4,2,5,4,NA,3,3,2,2,2,1,3,0.06896551724137931
tur,Turkish,nucl1301,2,1,2,2,2,2,1,1,4,3,3,2,6,1,1,1,3,2,2,2,4,6,1,2,1,2,1,2,1,0
mtg,Una,unaa1239,6,2,2,NA,1,2,1,NA,4,3,3,2,1,NA,NA,NA,1,4,2,5,NA,NA,NA,NA,NA,2,1,2,3,0.3448275862068966
urb,Urubú-Kaapor,urub1250,2,2,5,5,1,2,2,NA,1,3,3,3,1,NA,NA,NA,2,2,2,2,NA,NA,1,3,NA,2,NA,3,NA,0.3103448275862069
vie,Vietnamese,viet1252,2,4,1,NA,4,5,5,2,1,1,2,2,1,2,4,2,1,1,1,1,1,4,4,2,1,2,2,1,2,0.034482758620689655
wmb,Wambaya,wamb1258,NA,2,2,NA,NA,4,5,NA,2,3,5,1,7,NA,NA,NA,1,4,6,5,NA,4,NA,2,NA,2,3,2,3,0.3448275862068966
pav,Wari',wari1268,6,4,1,5,2,4,5,2,1,1,5,4,1,2,4,2,1,1,2,5,3,NA,NA,3,3,2,NA,2,NA,0.13793103448275862
mzh,Wichí,wich1264,1,2,4,4,1,NA,1,2,1,3,3,1,1,2,2,1,1,1,2,5,2,NA,1,NA,3,2,2,3,3,0.10344827586206896
wic,Wichita,wich1260,NA,2,5,NA,1,2,1,1,1,3,5,1,9,1,4,1,2,1,4,5,7,NA,4,2,1,1,2,NA,NA,0.1724137931034483
wba,Warao,wara1303,6,1,3,NA,1,NA,1,7,2,1,3,2,5,2,1,2,2,1,2,3,3,NA,NA,3,1,2,1,2,3,0.13793103448275862
wrr,Wardaman,ward1246,NA,2,4,NA,NA,2,1,1,4,3,5,1,7,NA,NA,NA,1,4,2,5,NA,4,2,3,NA,2,NA,2,NA,0.3448275862068966
yad,Yagua,yagu1244,3,2,2,5,1,3,5,1,1,1,5,4,9,1,3,2,1,1,4,5,6,NA,2,2,1,2,NA,2,NA,0.10344827586206896
yaq,Yaqui,yaqu1251,1,2,2,1,4,6,1,1,2,1,3,2,2,1,1,1,2,2,1,1,3,6,2,NA,1,2,2,2,3,0.034482758620689655
yii,Yidiny,yidi1250,6,2,2,5,4,5,4,1,2,1,3,1,7,NA,NA,NA,1,4,1,1,NA,1,2,3,NA,2,NA,3,NA,0.2413793103448276
yee,Yimas,yima1243,NA,1,4,5,NA,2,1,NA,1,2,3,3,9,NA,NA,NA,1,1,6,5,NA,6,NA,3,1,2,1,2,1,0.27586206896551724
yux,Yukaghir (Kolyma),sout2750,6,1,2,5,2,2,1,NA,2,2,3,2,7,2,4,1,2,2,2,2,NA,NA,2,2,2,2,2,2,3,0.10344827586206896
yor,Yoruba,yoru1245,6,4,1,5,4,5,5,4,4,1,3,2,1,2,4,2,1,1,1,1,4,4,1,2,1,2,2,1,1,0
esu,Yup'ik (Central),cent2127,3,1,2,5,2,2,1,NA,2,3,3,1,6,NA,NA,NA,2,4,3,5,NA,6,2,NA,NA,NA,1,2,3,0.27586206896551724
yur,Yurok,yuro1248,3,2,3,NA,1,2,1,1,2,3,3,2,9,NA,NA,NA,1,1,2,5,4,NA,NA,NA,2,2,3,3,3,0.2413793103448276
zoc,Zoque (Copainalá),copa1236,6,3,4,NA,1,2,1,1,4,3,5,1,2,1,1,2,2,4,2,5,4,NA,NA,NA,1,NA,2,2,3,0.1724137931034483
zul,Zulu,zulu1248,2,1,6,5,NA,2,1,1,1,2,3,2,1,1,2,1,1,1,2,5,3,6,1,NA,1,2,1,2,2,0.06896551724137931
