"","mean","sd","0.025quant","0.5quant","0.975quant","mode","model"
"fitted.Predictor.1079...7539",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1080...7540",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1081...7541",0.04,0.04,-0.02,0.04,0.11,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1082...7542",0.04,0.03,-0.02,0.04,0.11,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1083...7543",0.05,0.05,-0.04,0.05,0.15,0.05,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1084...7544",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1085...7545",0.07,0.11,-0.14,0.07,0.29,0.07,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1086...7546",0.04,0.03,-0.02,0.04,0.1,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1087...7547",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1088...7548",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1089...7549",0.05,0.04,-0.03,0.05,0.12,0.05,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1090...7550",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1091...7551",0.02,0.03,-0.03,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1092...7552",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1093...7553",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1094...7554",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1095...7555",0.11,0.15,-0.17,0.11,0.4,0.11,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1096...7556",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1097...7557",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1098...7558",0.04,0.03,-0.02,0.04,0.09,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1099...7559",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1100...7560",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1101...7561",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1102...7562",0.04,0.03,-0.02,0.04,0.1,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1103...7563",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1104...7564",0.09,0.14,-0.18,0.09,0.36,0.09,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1105...7565",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1106...7566",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1107...7567",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1108...7568",0.01,0.05,-0.08,0.01,0.11,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1109...7569",0,0.06,-0.12,0,0.12,0,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1110...7570",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1111...7571",0.02,0.04,-0.06,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1112...7572",0.02,0.04,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1113...7573",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1114...7574",0.03,0.03,-0.03,0.03,0.08,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1115...7575",0.16,0.23,-0.3,0.16,0.61,0.16,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1116...7576",0.04,0.04,-0.04,0.04,0.13,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1117...7577",0.01,0.04,-0.07,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1118...7578",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1119...7579",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1120...7580",0.01,0.04,-0.06,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1121...7581",0.01,0.05,-0.09,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1122...7582",0.03,0.06,-0.09,0.03,0.14,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1123...7583",0,0.06,-0.12,0,0.12,0,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1124...7584",0.03,0.03,-0.02,0.03,0.09,0.03,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1125...7585",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1126...7586",0.02,0.03,-0.04,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1127...7587",0,0.05,-0.1,0,0.11,0,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1128...7588",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1129...7589",0.01,0.04,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1130...7590",0.1,0.15,-0.19,0.1,0.4,0.1,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1131...7591",0,0.05,-0.1,0,0.11,0,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1132...7592",0.04,0.06,-0.09,0.04,0.16,0.04,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1133...7593",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1134...7594",0,0.06,-0.11,0,0.11,0,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1135...7595",0.01,0.04,-0.06,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1136...7596",0.01,0.04,-0.07,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1137...7597",0.01,0.04,-0.07,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1138...7598",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1139...7599",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1140...7600",0.01,0.04,-0.06,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1141...7601",0.01,0.05,-0.09,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1142...7602",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1143...7603",0.12,0.18,-0.22,0.12,0.47,0.12,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1144...7604",0.02,0.03,-0.04,0.02,0.08,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1145...7605",0.12,0.17,-0.22,0.12,0.46,0.12,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1146...7606",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1147...7607",0.01,0.04,-0.07,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1148...7608",0,0.06,-0.11,0,0.11,0,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1149...7609",0.02,0.03,-0.05,0.02,0.09,0.02,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1150...7610",0.07,0.11,-0.14,0.07,0.29,0.07,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1151...7611",0.01,0.05,-0.08,0.01,0.1,0.01,"L1 speakers (linear)+L2 proportion (linear)"
"fitted.Predictor.1152...7612",0.01,0.04,-0.06,0.01,0.09,0.01,"L1 speakers (linear)+L2 proportion (linear)"
