lang,langFamily,silCode,walsCode,logpop2,roundComp
Siroi,Trans-New Guinea,SSD,sro,3.11694,-11
Konjo,Austronesian,KJC,kjo,5.09691,-5
Jebero,Cahuapanan,JEB,jeb,3.39794,-3
Arop-Lokep,Austronesian,APR,alk,3.47929,-4
Burunge,Afro-Asiatic,BDS,brn,4.11394,-2
Amele,Trans-New Guinea,AMI,ame,3.72428,-9
Bau,Trans-New Guinea,BBD,bau,3.48544,0
Halia,Austronesian,HLA,hal,4.30103,-8
Holoholo,Niger-Congo,HOO,hol,4.19033,0
Pisa,Trans-New Guinea,PSA,pis,3.81291,0
Oksapmin,Oksapmin,OPM,oks,3.90309,0
Kobon,Trans-New Guinea,KPW,kob,3.77815,-7
Sulka,Sulka,SLK,sul,3.39794,-3
Aguaruna,Jivaroan,AGR,agr,4.58309,-6
Cocama,Tupian,COD,coc,3.31175,-6
Nyamwezi,Niger-Congo,NYZ,nym,6.07918,-6
Rimi,Niger-Congo,RIM,rim,5.74507,0
Sandawe,Khoisan,SBR,sdw,4.60206,0
Lampung,Austronesian,LJP,lmp,6.17609,-4
Muna,Austronesian,MYN,mna,5.35603,-4
Garus,Trans-New Guinea,GYB,grs,3.42357,0
Bali-Vitu,Austronesian,WIV/BBN,bvi,4,-7
Mugil,Trans-New Guinea,MLP,mug,3.57403,0
Usan,Trans-New Guinea,WNU,usa,3.14613,-7
Enya,Niger-Congo,GEY,eny,4.17609,0
Rao,Lower Sepik-Ramu,RAO,rao,3.77815,-8
Una,Trans-New Guinea,MTG,una,3.60206,-6
Alamblak,Sepik,AMP,ala,3.18384,-6
Yimas,Lower Sepik-Ramu,YEE,yim,2.47712,-8
Anamuxra,Trans-New Guinea,IMI,amx,3.09795,-4
Takia,Austronesian,TBC,tak,4.29268,-3
Siar,Austronesian,SJR,sir,3.31723,-6
Baining,Baining-Taulil,BYX,bng,3.80277,-4
Langi,Niger-Congo,LAG,lgi,5.54407,0
Sare,Sepik,DJU,sar,3.21431,-4
Waskia,Trans-New Guinea,WSK,wsk,4.20243,-3
Nehan,Austronesian,NSN,neh,3.81291,0
Matis,Panoan,MPQ,mts,2.07918,-3
Mikarew,Lower Sepik-Ramu,MSY,mkr,3.90309,0
Mbugu,Afro-Asiatic,MHD,mbg,3.8451,0
Dani (Lower Grand Valley),Trans-New Guinea,DNI,dni,4.30103,-5
Manambu,Sepik,MLE,mbu,3.32325,0
Kambot,Lower Sepik-Ramu,KBX,kbo,3.8451,0
Kire,Lower Sepik-Ramu,GEB,kie,3.38364,0
Monumbo,Monumbo,MXK,mbo,2.6149,-6
Tolai,Austronesian,KSD,tla,4.78533,-11
Candoshi,Candoshi,CBU,can,3.47712,-4
Yessan-Mayo,Sepik,YSS,yes,3.29842,-6
Kwoma,Sepik,KMO,kwo,3.47712,-6
Chambri,Lower Sepik-Ramu,CAN,chb,3.23045,0
Yale (Kosarek),Trans-New Guinea,KKL,yal,3.36173,0
Taiap,Gapun,GPN,tap,1.90309,0
Kaian,Lower Sepik-Ramu,KCT,kai,2.50786,-5
Urarina,Urarina,URA,urn,3.47712,0
Ticuna,Ticuna,TCA,tic,4.61278,0
Tetela,Niger-Congo,TEL,tet,5.87506,0
Iraqw,Afro-Asiatic,IRK,irq,5.66464,-9
Dabida,Niger-Congo,DAV,dbd,5.30833,-8
Manam,Austronesian,MVA,mnm,3.90031,-10
Watam,Lower Sepik-Ramu,WAX,wtm,2.77085,0
Ekari,Trans-New Guinea,EKG,eka,5,-5
Namia,Sepik,NNM,nam,3.69408,-6
Hanga Hundi,Sepik,WOS,hhu,3.77873,0
Ambulas,Sepik,ABT,amb,4.64345,-4
Larike,Austronesian,ALO,lrk,4.09889,0
Karkar-Yuri,Karkar-Yuri,YUJ,kyr,3.05767,0
Anggor,Senagi,AGG,ang,3.10243,-6
Ifumu,Niger-Congo,IFM,ifm,3.91116,0
Moni,Trans-New Guinea,MNZ,mni,4.30103,0
Amanab,Border,AMN,amn,3.64532,-8
Awtuw,Sepik,KMN,awt,2.70415,-7
Au,Torricelli,AVT,au,3.90309,-3
Urim,Torricelli,URI,uri,3.5731,0
Yagua,Peba-Yaguan,YAD,yag,3.75526,-6
Asuriní,Tupian,ASU,asu,2.28103,0
Rundi,Niger-Congo,RUD,rnd,6.68582,0
Buru,Austronesian,MHS,buu,4.51825,0
Mairasi,Trans-New Guinea,FRY,mrs,3.51851,0
