"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"97","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","informativity","social SD:
L1",0,0.01,0.03,3134.4,"entire"
"98","Phylogenetic+Spatial: local+L1_log10:Vehicularity","informativity","phylogenetic SD",0.89,1.2,1.57,3135.58,"entire"
"99","Phylogenetic+Spatial: local+L1_log10:Vehicularity","informativity","spatial SD",0.36,0.44,0.54,3135.58,"entire"
"100","Phylogenetic+Spatial: local+L1_log10:Vehicularity","informativity","Intercept",-0.05,0,0.04,3135.58,"entire"
"101","Phylogenetic+Spatial: local+L1_log10:Vehicularity","informativity","L1*Vehicularity",0.03,0.06,0.09,3135.58,"entire"
"102","Phylogenetic+Spatial: local+Vehicularity","informativity","phylogenetic SD",0.87,1.18,1.55,3136.39,"entire"
"103","Phylogenetic+Spatial: local+Vehicularity","informativity","spatial SD",0.36,0.44,0.54,3136.39,"entire"
"104","Phylogenetic+Spatial: local+Vehicularity","informativity","Intercept",-0.05,0,0.04,3136.39,"entire"
"105","Phylogenetic+Spatial: local+Vehicularity","informativity","Vehicularity",0.19,0.36,0.53,3136.39,"entire"
"106","Phylogenetic+Spatial: local+Neighbours","informativity","phylogenetic SD",0.88,1.2,1.57,3153.06,"entire"
"107","Phylogenetic+Spatial: local+Neighbours","informativity","spatial SD",0.36,0.44,0.54,3153.06,"entire"
"108","Phylogenetic+Spatial: local+Neighbours","informativity","Intercept",-0.01,0.03,0.07,3153.06,"entire"
"109","Phylogenetic+Spatial: local+Neighbours","informativity","Neighbours",-0.04,0.01,0.05,3153.06,"entire"
"110","Phylogenetic+Spatial: local+Education","informativity","phylogenetic SD",0.85,1.15,1.54,3156.96,"entire"
"111","Phylogenetic+Spatial: local+Education","informativity","spatial SD",0.37,0.45,0.54,3156.96,"entire"
"112","Phylogenetic+Spatial: local+Education","informativity","Intercept",-0.02,0.02,0.06,3156.96,"entire"
"113","Phylogenetic+Spatial: local+Education","informativity","Education",-0.03,0.18,0.38,3156.96,"entire"
"114","Phylogenetic+Spatial: local+Official","informativity","phylogenetic SD",0.83,1.14,1.52,3157.39,"entire"
"115","Phylogenetic+Spatial: local+Official","informativity","spatial SD",0.37,0.45,0.54,3157.39,"entire"
